"sample_size","Variables","Population_Parameter_Values","Sample_Statistic_Values","Absolute_Difference"
9524,"Proportion Male:",0.435,0.426,0.009
9524,"Mean Age:",19.508,19.505,0.003
9524,"Mean Weight:",162.157,161.856,0.301
9524,"Mean Height:",67.187,67.163,0.024
9524,"Mean Number of Classes:",3.481,3.466,0.015
9525,"Proportion Male:",0.435,0.426,0.009
9525,"Mean Age:",19.508,19.505,0.003
9525,"Mean Weight:",162.157,161.855,0.302
9525,"Mean Height:",67.187,67.163,0.024
9525,"Mean Number of Classes:",3.481,3.466,0.015
9526,"Proportion Male:",0.435,0.426,0.009
9526,"Mean Age:",19.508,19.505,0.003
9526,"Mean Weight:",162.157,161.852,0.305
9526,"Mean Height:",67.187,67.163,0.024
9526,"Mean Number of Classes:",3.481,3.466,0.015
9527,"Proportion Male:",0.435,0.426,0.009
9527,"Mean Age:",19.508,19.506,0.002
9527,"Mean Weight:",162.157,161.852,0.305
9527,"Mean Height:",67.187,67.162,0.025
9527,"Mean Number of Classes:",3.481,3.466,0.015
9528,"Proportion Male:",0.435,0.426,0.009
9528,"Mean Age:",19.508,19.506,0.002
9528,"Mean Weight:",162.157,161.851,0.306
9528,"Mean Height:",67.187,67.161,0.026
9528,"Mean Number of Classes:",3.481,3.467,0.014
9529,"Proportion Male:",0.435,0.426,0.009
9529,"Mean Age:",19.508,19.506,0.002
9529,"Mean Weight:",162.157,161.846,0.311
9529,"Mean Height:",67.187,67.161,0.026
9529,"Mean Number of Classes:",3.481,3.466,0.015
9530,"Proportion Male:",0.435,0.426,0.009
9530,"Mean Age:",19.508,19.506,0.002
9530,"Mean Weight:",162.157,161.841,0.316
9530,"Mean Height:",67.187,67.161,0.026
9530,"Mean Number of Classes:",3.481,3.466,0.015
9531,"Proportion Male:",0.435,0.426,0.009
9531,"Mean Age:",19.508,19.506,0.002
9531,"Mean Weight:",162.157,161.844,0.313
9531,"Mean Height:",67.187,67.16,0.027
9531,"Mean Number of Classes:",3.481,3.466,0.015
9532,"Proportion Male:",0.435,0.426,0.009
9532,"Mean Age:",19.508,19.506,0.002
9532,"Mean Weight:",162.157,161.84,0.317
9532,"Mean Height:",67.187,67.16,0.027
9532,"Mean Number of Classes:",3.481,3.466,0.015
9533,"Proportion Male:",0.435,0.426,0.009
9533,"Mean Age:",19.508,19.506,0.002
9533,"Mean Weight:",162.157,161.841,0.316
9533,"Mean Height:",67.187,67.159,0.028
9533,"Mean Number of Classes:",3.481,3.466,0.015
9534,"Proportion Male:",0.435,0.426,0.009
9534,"Mean Age:",19.508,19.506,0.002
9534,"Mean Weight:",162.157,161.841,0.316
9534,"Mean Height:",67.187,67.159,0.028
9534,"Mean Number of Classes:",3.481,3.466,0.015
9535,"Proportion Male:",0.435,0.426,0.009
9535,"Mean Age:",19.508,19.506,0.002
9535,"Mean Weight:",162.157,161.84,0.317
9535,"Mean Height:",67.187,67.16,0.027
9535,"Mean Number of Classes:",3.481,3.466,0.015
9536,"Proportion Male:",0.435,0.426,0.009
9536,"Mean Age:",19.508,19.506,0.002
9536,"Mean Weight:",162.157,161.841,0.316
9536,"Mean Height:",67.187,67.16,0.027
9536,"Mean Number of Classes:",3.481,3.466,0.015
9537,"Proportion Male:",0.435,0.426,0.009
9537,"Mean Age:",19.508,19.506,0.002
9537,"Mean Weight:",162.157,161.837,0.32
9537,"Mean Height:",67.187,67.16,0.027
9537,"Mean Number of Classes:",3.481,3.466,0.015
9538,"Proportion Male:",0.435,0.426,0.009
9538,"Mean Age:",19.508,19.506,0.002
9538,"Mean Weight:",162.157,161.834,0.323
9538,"Mean Height:",67.187,67.161,0.026
9538,"Mean Number of Classes:",3.481,3.466,0.015
9539,"Proportion Male:",0.435,0.426,0.009
9539,"Mean Age:",19.508,19.506,0.002
9539,"Mean Weight:",162.157,161.829,0.328
9539,"Mean Height:",67.187,67.16,0.027
9539,"Mean Number of Classes:",3.481,3.466,0.015
9540,"Proportion Male:",0.435,0.426,0.009
9540,"Mean Age:",19.508,19.506,0.002
9540,"Mean Weight:",162.157,161.836,0.321
9540,"Mean Height:",67.187,67.161,0.026
9540,"Mean Number of Classes:",3.481,3.466,0.015
9541,"Proportion Male:",0.435,0.426,0.009
9541,"Mean Age:",19.508,19.506,0.002
9541,"Mean Weight:",162.157,161.834,0.323
9541,"Mean Height:",67.187,67.161,0.026
9541,"Mean Number of Classes:",3.481,3.466,0.015
9542,"Proportion Male:",0.435,0.426,0.009
9542,"Mean Age:",19.508,19.506,0.002
9542,"Mean Weight:",162.157,161.828,0.329
9542,"Mean Height:",67.187,67.16,0.027
9542,"Mean Number of Classes:",3.481,3.466,0.015
9543,"Proportion Male:",0.435,0.426,0.009
9543,"Mean Age:",19.508,19.506,0.002
9543,"Mean Weight:",162.157,161.828,0.329
9543,"Mean Height:",67.187,67.159,0.028
9543,"Mean Number of Classes:",3.481,3.466,0.015
9544,"Proportion Male:",0.435,0.426,0.009
9544,"Mean Age:",19.508,19.505,0.003
9544,"Mean Weight:",162.157,161.834,0.323
9544,"Mean Height:",67.187,67.16,0.027
9544,"Mean Number of Classes:",3.481,3.466,0.015
9545,"Proportion Male:",0.435,0.426,0.009
9545,"Mean Age:",19.508,19.505,0.003
9545,"Mean Weight:",162.157,161.832,0.325
9545,"Mean Height:",67.187,67.16,0.027
9545,"Mean Number of Classes:",3.481,3.466,0.015
9546,"Proportion Male:",0.435,0.426,0.009
9546,"Mean Age:",19.508,19.505,0.003
9546,"Mean Weight:",162.157,161.84,0.317
9546,"Mean Height:",67.187,67.16,0.027
9546,"Mean Number of Classes:",3.481,3.466,0.015
9547,"Proportion Male:",0.435,0.426,0.009
9547,"Mean Age:",19.508,19.505,0.003
9547,"Mean Weight:",162.157,161.851,0.306
9547,"Mean Height:",67.187,67.161,0.026
9547,"Mean Number of Classes:",3.481,3.466,0.015
9548,"Proportion Male:",0.435,0.426,0.009
9548,"Mean Age:",19.508,19.505,0.003
9548,"Mean Weight:",162.157,161.85,0.307
9548,"Mean Height:",67.187,67.16,0.027
9548,"Mean Number of Classes:",3.481,3.465,0.016
9549,"Proportion Male:",0.435,0.426,0.009
9549,"Mean Age:",19.508,19.505,0.003
9549,"Mean Weight:",162.157,161.852,0.305
9549,"Mean Height:",67.187,67.16,0.027
9549,"Mean Number of Classes:",3.481,3.465,0.016
9550,"Proportion Male:",0.435,0.426,0.009
9550,"Mean Age:",19.508,19.505,0.003
9550,"Mean Weight:",162.157,161.855,0.302
9550,"Mean Height:",67.187,67.161,0.026
9550,"Mean Number of Classes:",3.481,3.465,0.016
9551,"Proportion Male:",0.435,0.426,0.009
9551,"Mean Age:",19.508,19.505,0.003
9551,"Mean Weight:",162.157,161.858,0.299
9551,"Mean Height:",67.187,67.162,0.025
9551,"Mean Number of Classes:",3.481,3.466,0.015
9552,"Proportion Male:",0.435,0.426,0.009
9552,"Mean Age:",19.508,19.505,0.003
9552,"Mean Weight:",162.157,161.856,0.301
9552,"Mean Height:",67.187,67.161,0.026
9552,"Mean Number of Classes:",3.481,3.465,0.016
9553,"Proportion Male:",0.435,0.426,0.009
9553,"Mean Age:",19.508,19.505,0.003
9553,"Mean Weight:",162.157,161.851,0.306
9553,"Mean Height:",67.187,67.161,0.026
9553,"Mean Number of Classes:",3.481,3.466,0.015
9554,"Proportion Male:",0.435,0.426,0.009
9554,"Mean Age:",19.508,19.506,0.002
9554,"Mean Weight:",162.157,161.852,0.305
9554,"Mean Height:",67.187,67.162,0.025
9554,"Mean Number of Classes:",3.481,3.466,0.015
9555,"Proportion Male:",0.435,0.426,0.009
9555,"Mean Age:",19.508,19.505,0.003
9555,"Mean Weight:",162.157,161.852,0.305
9555,"Mean Height:",67.187,67.163,0.024
9555,"Mean Number of Classes:",3.481,3.465,0.016
9556,"Proportion Male:",0.435,0.426,0.009
9556,"Mean Age:",19.508,19.505,0.003
9556,"Mean Weight:",162.157,161.849,0.308
9556,"Mean Height:",67.187,67.162,0.025
9556,"Mean Number of Classes:",3.481,3.465,0.016
9557,"Proportion Male:",0.435,0.426,0.009
9557,"Mean Age:",19.508,19.505,0.003
9557,"Mean Weight:",162.157,161.851,0.306
9557,"Mean Height:",67.187,67.162,0.025
9557,"Mean Number of Classes:",3.481,3.465,0.016
9558,"Proportion Male:",0.435,0.426,0.009
9558,"Mean Age:",19.508,19.505,0.003
9558,"Mean Weight:",162.157,161.852,0.305
9558,"Mean Height:",67.187,67.162,0.025
9558,"Mean Number of Classes:",3.481,3.465,0.016
9559,"Proportion Male:",0.435,0.427,0.008
9559,"Mean Age:",19.508,19.505,0.003
9559,"Mean Weight:",162.157,161.853,0.304
9559,"Mean Height:",67.187,67.162,0.025
9559,"Mean Number of Classes:",3.481,3.465,0.016
9560,"Proportion Male:",0.435,0.426,0.009
9560,"Mean Age:",19.508,19.505,0.003
9560,"Mean Weight:",162.157,161.853,0.304
9560,"Mean Height:",67.187,67.161,0.026
9560,"Mean Number of Classes:",3.481,3.465,0.016
9561,"Proportion Male:",0.435,0.427,0.008
9561,"Mean Age:",19.508,19.505,0.003
9561,"Mean Weight:",162.157,161.848,0.309
9561,"Mean Height:",67.187,67.162,0.025
9561,"Mean Number of Classes:",3.481,3.466,0.015
9562,"Proportion Male:",0.435,0.426,0.009
9562,"Mean Age:",19.508,19.505,0.003
9562,"Mean Weight:",162.157,161.852,0.305
9562,"Mean Height:",67.187,67.162,0.025
9562,"Mean Number of Classes:",3.481,3.465,0.016
9563,"Proportion Male:",0.435,0.427,0.008
9563,"Mean Age:",19.508,19.505,0.003
9563,"Mean Weight:",162.157,161.856,0.301
9563,"Mean Height:",67.187,67.162,0.025
9563,"Mean Number of Classes:",3.481,3.465,0.016
9564,"Proportion Male:",0.435,0.427,0.008
9564,"Mean Age:",19.508,19.505,0.003
9564,"Mean Weight:",162.157,161.858,0.299
9564,"Mean Height:",67.187,67.162,0.025
9564,"Mean Number of Classes:",3.481,3.465,0.016
9565,"Proportion Male:",0.435,0.427,0.008
9565,"Mean Age:",19.508,19.505,0.003
9565,"Mean Weight:",162.157,161.854,0.303
9565,"Mean Height:",67.187,67.162,0.025
9565,"Mean Number of Classes:",3.481,3.465,0.016
9566,"Proportion Male:",0.435,0.427,0.008
9566,"Mean Age:",19.508,19.505,0.003
9566,"Mean Weight:",162.157,161.851,0.306
9566,"Mean Height:",67.187,67.162,0.025
9566,"Mean Number of Classes:",3.481,3.466,0.015
9567,"Proportion Male:",0.435,0.427,0.008
9567,"Mean Age:",19.508,19.505,0.003
9567,"Mean Weight:",162.157,161.851,0.306
9567,"Mean Height:",67.187,67.163,0.024
9567,"Mean Number of Classes:",3.481,3.465,0.016
9568,"Proportion Male:",0.435,0.427,0.008
9568,"Mean Age:",19.508,19.505,0.003
9568,"Mean Weight:",162.157,161.852,0.305
9568,"Mean Height:",67.187,67.162,0.025
9568,"Mean Number of Classes:",3.481,3.465,0.016
9569,"Proportion Male:",0.435,0.427,0.008
9569,"Mean Age:",19.508,19.505,0.003
9569,"Mean Weight:",162.157,161.85,0.307
9569,"Mean Height:",67.187,67.162,0.025
9569,"Mean Number of Classes:",3.481,3.466,0.015
9570,"Proportion Male:",0.435,0.427,0.008
9570,"Mean Age:",19.508,19.505,0.003
9570,"Mean Weight:",162.157,161.856,0.301
9570,"Mean Height:",67.187,67.162,0.025
9570,"Mean Number of Classes:",3.481,3.465,0.016
9571,"Proportion Male:",0.435,0.427,0.008
9571,"Mean Age:",19.508,19.505,0.003
9571,"Mean Weight:",162.157,161.851,0.306
9571,"Mean Height:",67.187,67.161,0.026
9571,"Mean Number of Classes:",3.481,3.465,0.016
9572,"Proportion Male:",0.435,0.427,0.008
9572,"Mean Age:",19.508,19.505,0.003
9572,"Mean Weight:",162.157,161.851,0.306
9572,"Mean Height:",67.187,67.162,0.025
9572,"Mean Number of Classes:",3.481,3.466,0.015
9573,"Proportion Male:",0.435,0.427,0.008
9573,"Mean Age:",19.508,19.505,0.003
9573,"Mean Weight:",162.157,161.845,0.312
9573,"Mean Height:",67.187,67.162,0.025
9573,"Mean Number of Classes:",3.481,3.466,0.015
9574,"Proportion Male:",0.435,0.427,0.008
9574,"Mean Age:",19.508,19.505,0.003
9574,"Mean Weight:",162.157,161.842,0.315
9574,"Mean Height:",67.187,67.162,0.025
9574,"Mean Number of Classes:",3.481,3.466,0.015
9575,"Proportion Male:",0.435,0.427,0.008
9575,"Mean Age:",19.508,19.505,0.003
9575,"Mean Weight:",162.157,161.849,0.308
9575,"Mean Height:",67.187,67.162,0.025
9575,"Mean Number of Classes:",3.481,3.466,0.015
9576,"Proportion Male:",0.435,0.427,0.008
9576,"Mean Age:",19.508,19.505,0.003
9576,"Mean Weight:",162.157,161.85,0.307
9576,"Mean Height:",67.187,67.162,0.025
9576,"Mean Number of Classes:",3.481,3.466,0.015
9577,"Proportion Male:",0.435,0.427,0.008
9577,"Mean Age:",19.508,19.505,0.003
9577,"Mean Weight:",162.157,161.846,0.311
9577,"Mean Height:",67.187,67.162,0.025
9577,"Mean Number of Classes:",3.481,3.466,0.015
9578,"Proportion Male:",0.435,0.427,0.008
9578,"Mean Age:",19.508,19.505,0.003
9578,"Mean Weight:",162.157,161.852,0.305
9578,"Mean Height:",67.187,67.162,0.025
9578,"Mean Number of Classes:",3.481,3.466,0.015
9579,"Proportion Male:",0.435,0.427,0.008
9579,"Mean Age:",19.508,19.505,0.003
9579,"Mean Weight:",162.157,161.853,0.304
9579,"Mean Height:",67.187,67.161,0.026
9579,"Mean Number of Classes:",3.481,3.466,0.015
9580,"Proportion Male:",0.435,0.427,0.008
9580,"Mean Age:",19.508,19.505,0.003
9580,"Mean Weight:",162.157,161.853,0.304
9580,"Mean Height:",67.187,67.161,0.026
9580,"Mean Number of Classes:",3.481,3.466,0.015
9581,"Proportion Male:",0.435,0.427,0.008
9581,"Mean Age:",19.508,19.505,0.003
9581,"Mean Weight:",162.157,161.848,0.309
9581,"Mean Height:",67.187,67.162,0.025
9581,"Mean Number of Classes:",3.481,3.466,0.015
9582,"Proportion Male:",0.435,0.427,0.008
9582,"Mean Age:",19.508,19.505,0.003
9582,"Mean Weight:",162.157,161.848,0.309
9582,"Mean Height:",67.187,67.162,0.025
9582,"Mean Number of Classes:",3.481,3.465,0.016
9583,"Proportion Male:",0.435,0.427,0.008
9583,"Mean Age:",19.508,19.505,0.003
9583,"Mean Weight:",162.157,161.844,0.313
9583,"Mean Height:",67.187,67.162,0.025
9583,"Mean Number of Classes:",3.481,3.466,0.015
9584,"Proportion Male:",0.435,0.427,0.008
9584,"Mean Age:",19.508,19.505,0.003
9584,"Mean Weight:",162.157,161.84,0.317
9584,"Mean Height:",67.187,67.161,0.026
9584,"Mean Number of Classes:",3.481,3.466,0.015
9585,"Proportion Male:",0.435,0.427,0.008
9585,"Mean Age:",19.508,19.505,0.003
9585,"Mean Weight:",162.157,161.838,0.319
9585,"Mean Height:",67.187,67.161,0.026
9585,"Mean Number of Classes:",3.481,3.466,0.015
9586,"Proportion Male:",0.435,0.427,0.008
9586,"Mean Age:",19.508,19.505,0.003
9586,"Mean Weight:",162.157,161.833,0.324
9586,"Mean Height:",67.187,67.161,0.026
9586,"Mean Number of Classes:",3.481,3.466,0.015
9587,"Proportion Male:",0.435,0.427,0.008
9587,"Mean Age:",19.508,19.505,0.003
9587,"Mean Weight:",162.157,161.829,0.328
9587,"Mean Height:",67.187,67.161,0.026
9587,"Mean Number of Classes:",3.481,3.466,0.015
9588,"Proportion Male:",0.435,0.427,0.008
9588,"Mean Age:",19.508,19.504,0.004
9588,"Mean Weight:",162.157,161.824,0.333
9588,"Mean Height:",67.187,67.161,0.026
9588,"Mean Number of Classes:",3.481,3.466,0.015
9589,"Proportion Male:",0.435,0.427,0.008
9589,"Mean Age:",19.508,19.504,0.004
9589,"Mean Weight:",162.157,161.829,0.328
9589,"Mean Height:",67.187,67.162,0.025
9589,"Mean Number of Classes:",3.481,3.466,0.015
9590,"Proportion Male:",0.435,0.427,0.008
9590,"Mean Age:",19.508,19.505,0.003
9590,"Mean Weight:",162.157,161.823,0.334
9590,"Mean Height:",67.187,67.162,0.025
9590,"Mean Number of Classes:",3.481,3.466,0.015
9591,"Proportion Male:",0.435,0.427,0.008
9591,"Mean Age:",19.508,19.504,0.004
9591,"Mean Weight:",162.157,161.819,0.338
9591,"Mean Height:",67.187,67.162,0.025
9591,"Mean Number of Classes:",3.481,3.466,0.015
9592,"Proportion Male:",0.435,0.427,0.008
9592,"Mean Age:",19.508,19.504,0.004
9592,"Mean Weight:",162.157,161.818,0.339
9592,"Mean Height:",67.187,67.162,0.025
9592,"Mean Number of Classes:",3.481,3.466,0.015
9593,"Proportion Male:",0.435,0.427,0.008
9593,"Mean Age:",19.508,19.505,0.003
9593,"Mean Weight:",162.157,161.817,0.34
9593,"Mean Height:",67.187,67.163,0.024
9593,"Mean Number of Classes:",3.481,3.466,0.015
9594,"Proportion Male:",0.435,0.427,0.008
9594,"Mean Age:",19.508,19.505,0.003
9594,"Mean Weight:",162.157,161.817,0.34
9594,"Mean Height:",67.187,67.162,0.025
9594,"Mean Number of Classes:",3.481,3.466,0.015
9595,"Proportion Male:",0.435,0.427,0.008
9595,"Mean Age:",19.508,19.505,0.003
9595,"Mean Weight:",162.157,161.813,0.344
9595,"Mean Height:",67.187,67.162,0.025
9595,"Mean Number of Classes:",3.481,3.466,0.015
9596,"Proportion Male:",0.435,0.427,0.008
9596,"Mean Age:",19.508,19.505,0.003
9596,"Mean Weight:",162.157,161.809,0.348
9596,"Mean Height:",67.187,67.163,0.024
9596,"Mean Number of Classes:",3.481,3.466,0.015
9597,"Proportion Male:",0.435,0.427,0.008
9597,"Mean Age:",19.508,19.505,0.003
9597,"Mean Weight:",162.157,161.813,0.344
9597,"Mean Height:",67.187,67.162,0.025
9597,"Mean Number of Classes:",3.481,3.466,0.015
9598,"Proportion Male:",0.435,0.427,0.008
9598,"Mean Age:",19.508,19.504,0.004
9598,"Mean Weight:",162.157,161.809,0.348
9598,"Mean Height:",67.187,67.163,0.024
9598,"Mean Number of Classes:",3.481,3.466,0.015
9599,"Proportion Male:",0.435,0.427,0.008
9599,"Mean Age:",19.508,19.505,0.003
9599,"Mean Weight:",162.157,161.807,0.35
9599,"Mean Height:",67.187,67.163,0.024
9599,"Mean Number of Classes:",3.481,3.466,0.015
9600,"Proportion Male:",0.435,0.427,0.008
9600,"Mean Age:",19.508,19.505,0.003
9600,"Mean Weight:",162.157,161.802,0.355
9600,"Mean Height:",67.187,67.163,0.024
9600,"Mean Number of Classes:",3.481,3.466,0.015
9601,"Proportion Male:",0.435,0.427,0.008
9601,"Mean Age:",19.508,19.505,0.003
9601,"Mean Weight:",162.157,161.8,0.357
9601,"Mean Height:",67.187,67.163,0.024
9601,"Mean Number of Classes:",3.481,3.466,0.015
9602,"Proportion Male:",0.435,0.427,0.008
9602,"Mean Age:",19.508,19.505,0.003
9602,"Mean Weight:",162.157,161.802,0.355
9602,"Mean Height:",67.187,67.163,0.024
9602,"Mean Number of Classes:",3.481,3.466,0.015
9603,"Proportion Male:",0.435,0.427,0.008
9603,"Mean Age:",19.508,19.505,0.003
9603,"Mean Weight:",162.157,161.803,0.354
9603,"Mean Height:",67.187,67.163,0.024
9603,"Mean Number of Classes:",3.481,3.467,0.014
9604,"Proportion Male:",0.435,0.427,0.008
9604,"Mean Age:",19.508,19.505,0.003
9604,"Mean Weight:",162.157,161.802,0.355
9604,"Mean Height:",67.187,67.163,0.024
9604,"Mean Number of Classes:",3.481,3.467,0.014
9605,"Proportion Male:",0.435,0.427,0.008
9605,"Mean Age:",19.508,19.505,0.003
9605,"Mean Weight:",162.157,161.798,0.359
9605,"Mean Height:",67.187,67.163,0.024
9605,"Mean Number of Classes:",3.481,3.466,0.015
9606,"Proportion Male:",0.435,0.427,0.008
9606,"Mean Age:",19.508,19.505,0.003
9606,"Mean Weight:",162.157,161.796,0.361
9606,"Mean Height:",67.187,67.163,0.024
9606,"Mean Number of Classes:",3.481,3.466,0.015
9607,"Proportion Male:",0.435,0.427,0.008
9607,"Mean Age:",19.508,19.505,0.003
9607,"Mean Weight:",162.157,161.79,0.367
9607,"Mean Height:",67.187,67.162,0.025
9607,"Mean Number of Classes:",3.481,3.466,0.015
9608,"Proportion Male:",0.435,0.427,0.008
9608,"Mean Age:",19.508,19.505,0.003
9608,"Mean Weight:",162.157,161.787,0.37
9608,"Mean Height:",67.187,67.162,0.025
9608,"Mean Number of Classes:",3.481,3.466,0.015
9609,"Proportion Male:",0.435,0.427,0.008
9609,"Mean Age:",19.508,19.505,0.003
9609,"Mean Weight:",162.157,161.784,0.373
9609,"Mean Height:",67.187,67.161,0.026
9609,"Mean Number of Classes:",3.481,3.466,0.015
9610,"Proportion Male:",0.435,0.427,0.008
9610,"Mean Age:",19.508,19.505,0.003
9610,"Mean Weight:",162.157,161.783,0.374
9610,"Mean Height:",67.187,67.16,0.027
9610,"Mean Number of Classes:",3.481,3.466,0.015
9611,"Proportion Male:",0.435,0.427,0.008
9611,"Mean Age:",19.508,19.504,0.004
9611,"Mean Weight:",162.157,161.784,0.373
9611,"Mean Height:",67.187,67.16,0.027
9611,"Mean Number of Classes:",3.481,3.466,0.015
9612,"Proportion Male:",0.435,0.427,0.008
9612,"Mean Age:",19.508,19.504,0.004
9612,"Mean Weight:",162.157,161.78,0.377
9612,"Mean Height:",67.187,67.16,0.027
9612,"Mean Number of Classes:",3.481,3.466,0.015
9613,"Proportion Male:",0.435,0.427,0.008
9613,"Mean Age:",19.508,19.504,0.004
9613,"Mean Weight:",162.157,161.778,0.379
9613,"Mean Height:",67.187,67.16,0.027
9613,"Mean Number of Classes:",3.481,3.466,0.015
9614,"Proportion Male:",0.435,0.427,0.008
9614,"Mean Age:",19.508,19.504,0.004
9614,"Mean Weight:",162.157,161.777,0.38
9614,"Mean Height:",67.187,67.16,0.027
9614,"Mean Number of Classes:",3.481,3.466,0.015
9615,"Proportion Male:",0.435,0.427,0.008
9615,"Mean Age:",19.508,19.505,0.003
9615,"Mean Weight:",162.157,161.777,0.38
9615,"Mean Height:",67.187,67.16,0.027
9615,"Mean Number of Classes:",3.481,3.466,0.015
9616,"Proportion Male:",0.435,0.427,0.008
9616,"Mean Age:",19.508,19.505,0.003
9616,"Mean Weight:",162.157,161.779,0.378
9616,"Mean Height:",67.187,67.16,0.027
9616,"Mean Number of Classes:",3.481,3.466,0.015
9617,"Proportion Male:",0.435,0.427,0.008
9617,"Mean Age:",19.508,19.504,0.004
9617,"Mean Weight:",162.157,161.776,0.381
9617,"Mean Height:",67.187,67.16,0.027
9617,"Mean Number of Classes:",3.481,3.466,0.015
9618,"Proportion Male:",0.435,0.426,0.009
9618,"Mean Age:",19.508,19.504,0.004
9618,"Mean Weight:",162.157,161.778,0.379
9618,"Mean Height:",67.187,67.16,0.027
9618,"Mean Number of Classes:",3.481,3.466,0.015
9619,"Proportion Male:",0.435,0.427,0.008
9619,"Mean Age:",19.508,19.504,0.004
9619,"Mean Weight:",162.157,161.774,0.383
9619,"Mean Height:",67.187,67.16,0.027
9619,"Mean Number of Classes:",3.481,3.467,0.014
9620,"Proportion Male:",0.435,0.427,0.008
9620,"Mean Age:",19.508,19.504,0.004
9620,"Mean Weight:",162.157,161.772,0.385
9620,"Mean Height:",67.187,67.16,0.027
9620,"Mean Number of Classes:",3.481,3.467,0.014
9621,"Proportion Male:",0.435,0.427,0.008
9621,"Mean Age:",19.508,19.504,0.004
9621,"Mean Weight:",162.157,161.773,0.384
9621,"Mean Height:",67.187,67.161,0.026
9621,"Mean Number of Classes:",3.481,3.466,0.015
9622,"Proportion Male:",0.435,0.427,0.008
9622,"Mean Age:",19.508,19.504,0.004
9622,"Mean Weight:",162.157,161.777,0.38
9622,"Mean Height:",67.187,67.161,0.026
9622,"Mean Number of Classes:",3.481,3.466,0.015
9623,"Proportion Male:",0.435,0.426,0.009
9623,"Mean Age:",19.508,19.504,0.004
9623,"Mean Weight:",162.157,161.774,0.383
9623,"Mean Height:",67.187,67.16,0.027
9623,"Mean Number of Classes:",3.481,3.466,0.015
9624,"Proportion Male:",0.435,0.426,0.009
9624,"Mean Age:",19.508,19.504,0.004
9624,"Mean Weight:",162.157,161.771,0.386
9624,"Mean Height:",67.187,67.16,0.027
9624,"Mean Number of Classes:",3.481,3.466,0.015
9625,"Proportion Male:",0.435,0.426,0.009
9625,"Mean Age:",19.508,19.504,0.004
9625,"Mean Weight:",162.157,161.768,0.389
9625,"Mean Height:",67.187,67.16,0.027
9625,"Mean Number of Classes:",3.481,3.466,0.015
9626,"Proportion Male:",0.435,0.426,0.009
9626,"Mean Age:",19.508,19.504,0.004
9626,"Mean Weight:",162.157,161.768,0.389
9626,"Mean Height:",67.187,67.16,0.027
9626,"Mean Number of Classes:",3.481,3.466,0.015
9627,"Proportion Male:",0.435,0.426,0.009
9627,"Mean Age:",19.508,19.504,0.004
9627,"Mean Weight:",162.157,161.764,0.393
9627,"Mean Height:",67.187,67.16,0.027
9627,"Mean Number of Classes:",3.481,3.466,0.015
9628,"Proportion Male:",0.435,0.426,0.009
9628,"Mean Age:",19.508,19.504,0.004
9628,"Mean Weight:",162.157,161.763,0.394
9628,"Mean Height:",67.187,67.16,0.027
9628,"Mean Number of Classes:",3.481,3.466,0.015
9629,"Proportion Male:",0.435,0.426,0.009
9629,"Mean Age:",19.508,19.504,0.004
9629,"Mean Weight:",162.157,161.761,0.396
9629,"Mean Height:",67.187,67.16,0.027
9629,"Mean Number of Classes:",3.481,3.466,0.015
9630,"Proportion Male:",0.435,0.426,0.009
9630,"Mean Age:",19.508,19.504,0.004
9630,"Mean Weight:",162.157,161.77,0.387
9630,"Mean Height:",67.187,67.16,0.027
9630,"Mean Number of Classes:",3.481,3.466,0.015
9631,"Proportion Male:",0.435,0.426,0.009
9631,"Mean Age:",19.508,19.504,0.004
9631,"Mean Weight:",162.157,161.773,0.384
9631,"Mean Height:",67.187,67.159,0.028
9631,"Mean Number of Classes:",3.481,3.466,0.015
9632,"Proportion Male:",0.435,0.426,0.009
9632,"Mean Age:",19.508,19.505,0.003
9632,"Mean Weight:",162.157,161.776,0.381
9632,"Mean Height:",67.187,67.159,0.028
9632,"Mean Number of Classes:",3.481,3.466,0.015
9633,"Proportion Male:",0.435,0.426,0.009
9633,"Mean Age:",19.508,19.505,0.003
9633,"Mean Weight:",162.157,161.78,0.377
9633,"Mean Height:",67.187,67.16,0.027
9633,"Mean Number of Classes:",3.481,3.466,0.015
9634,"Proportion Male:",0.435,0.426,0.009
9634,"Mean Age:",19.508,19.505,0.003
9634,"Mean Weight:",162.157,161.774,0.383
9634,"Mean Height:",67.187,67.159,0.028
9634,"Mean Number of Classes:",3.481,3.466,0.015
9635,"Proportion Male:",0.435,0.426,0.009
9635,"Mean Age:",19.508,19.505,0.003
9635,"Mean Weight:",162.157,161.781,0.376
9635,"Mean Height:",67.187,67.159,0.028
9635,"Mean Number of Classes:",3.481,3.466,0.015
9636,"Proportion Male:",0.435,0.426,0.009
9636,"Mean Age:",19.508,19.505,0.003
9636,"Mean Weight:",162.157,161.776,0.381
9636,"Mean Height:",67.187,67.16,0.027
9636,"Mean Number of Classes:",3.481,3.466,0.015
9637,"Proportion Male:",0.435,0.426,0.009
9637,"Mean Age:",19.508,19.505,0.003
9637,"Mean Weight:",162.157,161.778,0.379
9637,"Mean Height:",67.187,67.159,0.028
9637,"Mean Number of Classes:",3.481,3.466,0.015
9638,"Proportion Male:",0.435,0.426,0.009
9638,"Mean Age:",19.508,19.505,0.003
9638,"Mean Weight:",162.157,161.779,0.378
9638,"Mean Height:",67.187,67.159,0.028
9638,"Mean Number of Classes:",3.481,3.466,0.015
9639,"Proportion Male:",0.435,0.426,0.009
